,train_export
1,7053.12
2,7003.12
3,7028.12
4,7012.5
5,7012.5
6,7103.12
7,7128.12
8,7131.25
9,7112.5
10,7125
11,7137.5
12,7231.25
13,7300
14,7296.88
15,7331.25
16,7418.75
17,7406.25
18,7415.62
19,7437.5
20,7478.12
21,7468.75
22,7368.75
23,7306.25
24,7296.88
25,7268.75
26,7234.38
27,7246.88
28,7290.62
29,7287.5
30,7275
31,7287.5
32,7309.38
33,7290.62
34,7331.25
35,7400
36,7343.75
37,7331.25
38,7359.38
39,7381.25
40,7343.75
41,7368.75
42,7434.38
43,7456.25
44,7440.62
45,7425
46,7478.12
47,7468.75
48,7487.5
49,7500
50,7556.25
51,7571.88
52,7518.75
53,7503.12
54,7453.12
55,7465.62
56,7478.12
57,7462.5
58,7556.25
59,7521.88
60,7590.62
61,7562.5
62,7550
63,7596.88
64,7615.62
65,7615.62
66,7584.38
67,7609.38
68,7603.12
69,7550
70,7562.5
71,7462.5
72,7434.38
73,7421.88
74,7346.88
75,7325
76,7265.62
77,7362.5
78,7350
79,7315.62
80,7315.62
81,7200
82,7221.88
83,7234.38
84,7225
85,7228.12
86,7228.12
87,7196.88
88,7225
89,7237.5
90,7328.12
91,7300
92,7331.25
93,7365.62
94,7350
95,7306.25
96,7284.38
97,7300
98,7253.12
99,7196.88
100,7128.12
101,7146.88
102,7159.38
103,7206.25
104,7203.12
105,7071.88
106,7081.25
107,7031.25
108,6993.75
109,7034.38
110,6959.38
111,6959.38
112,6975
113,6925
114,6987.5
115,7037.5
116,7078.12
117,7037.5
118,6943.75
119,6965.62
120,6946.88
121,6918.75
122,6806.25
123,6687.5
124,6765.62
125,6771.88
126,6756.25
127,6637.5
128,6665.62
129,6600
130,6662.5
131,6606.25
132,6675
133,6725
134,6837.5
135,6862.5
136,6881.25
137,6900
138,6825
139,6978.12
140,6940.62
141,6975
142,6925
143,6887.5
144,6806.25
145,6762.5
146,6731.25
147,6734.38
148,6731.25
149,6815.62
150,6881.25
151,6868.75
152,6881.25
153,6962.5
154,6937.5
155,6868.75
156,6831.25
157,6862.5
158,6925
159,6950
160,6940.62
161,6971.88
162,7046.88
163,7078.12
164,7034.38
165,7034.38
166,7037.5
167,7043.75
168,7040.62
169,7037.5
170,7068.75
171,7112.5
172,7081.25
173,7037.5
174,6943.75
175,6921.88
176,6884.38
177,6931.25
178,6959.38
179,6918.75
180,6918.75
181,6971.88
182,7000
183,6868.75
184,6828.12
185,6837.5
186,6868.75
187,6846.88
188,6815.62
189,6828.12
190,6825
191,6790.62
192,6740.62
193,6740.62
194,6762.5
195,6775
196,6790.62
197,6871.88
198,6859.38
199,6837.5
200,6837.5
201,6806.25
202,6803.12
203,6843.75
204,6909.38
205,6890.62
206,6903.12
207,6856.25
208,6862.5
209,6893.75
210,6887.5
211,6815.62
212,6787.5
213,6796.88
214,6775
215,6728.12
216,6715.62
217,6728.12
218,6671.88
219,6643.75
220,6646.88
221,6693.75
222,6712.5
223,6712.5
224,6721.88
225,6753.12
226,6762.5
227,6787.5
228,6765.62
229,6768.75
230,6765.62
231,6731.25
232,6731.25
233,6768.75
234,6778.12
235,6765.62
236,6818.75
237,6800
238,6790.62
239,6850
240,6884.38
241,6896.88
242,6865.62
243,6871.88
244,6856.25
245,6850
246,6859.38
247,6843.75
248,6846.88
249,6856.25
250,6834.38
251,6825
252,6818.75
253,6846.88
254,6862.5
255,6812.5
256,6800
257,6784.38
258,6762.5
259,6734.38
260,6700
261,6712.5
262,6718.75
263,6718.75
264,6665.62
265,6659.38
266,6671.88
267,6603.12
268,6628.12
269,6612.5
270,6590.62
271,6621.88
272,6603.12
273,6671.88
274,6631.25
275,6606.25
276,6540.62
277,6521.88
278,6490.62
279,6525
280,6506.25
281,6484.38
282,6496.88
283,6471.88
284,6412.5
285,6403.12
286,6440.62
287,6406.25
288,6428.12
289,6443.75
290,6450
291,6437.5
292,6475
293,6431.25
294,6428.12
295,6384.38
296,6362.5
297,6368.75
298,6418.75
299,6443.75
300,6450
301,6443.75
302,6487.5
303,6428.12
304,6381.25
305,6400
306,6350
307,6312.5
308,6318.75
309,6303.12
310,6343.75
311,6378.12
312,6315.62
313,6290.62
314,6296.88
315,6268.75
316,6259.38
317,6181.25
318,6146.88
319,6134.38
320,6100
321,6100
322,5950
323,5946.88
324,5956.25
325,6012.5
326,5984.38
327,6012.5
328,6034.38
329,6000
330,6000
331,5881.25
332,5875
333,5846.88
334,5762.5
335,5825
336,5868.75
337,6000
338,5996.88
339,5968.75
340,5915.62
341,5946.88
342,5925
343,5915.62
344,5978.12
345,6009.38
346,6096.88
347,6084.38
348,6084.38
349,5925
350,5906.25
351,5871.88
352,5893.75
353,5859.38
354,5871.88
355,5828.12
356,5815.62
357,5800
358,5834.38
359,5878.12
360,5853.12
361,5962.5
362,6037.5
363,6018.75
364,6065.62
365,6156.25
366,6134.38
367,6109.38
368,6106.25
369,6131.25
370,6078.12
371,6031.25
372,6125
373,6118.75
374,6253.12
375,6278.12
376,6228.12
377,6246.88
378,6290.62
379,6359.38
380,6425
381,6375
382,6356.25
383,6406.25
384,6393.75
385,6415.62
386,6350
387,6350
388,6340.62
389,6321.88
390,6375
391,6403.12
392,6440.62
393,6443.75
394,6409.38
395,6425
396,6353.12
397,6365.62
398,6362.5
399,6356.25
400,6375
401,6362.5
402,6337.5
403,6368.75
404,6465.62
405,6443.75
406,6543.75
407,6556.25
408,6596.88
409,6637.5
410,6609.38
411,6631.25
412,6659.38
413,6709.38
414,6656.25
415,6615.62
416,6587.5
417,6612.5
418,6640.62
419,6612.5
420,6571.88
421,6562.5
422,6562.5
423,6559.38
424,6587.5
425,6653.12
426,6656.25
427,6631.25
428,6640.62
429,6684.38
430,6650
431,6643.75
432,6662.5
433,6731.25
434,6862.5
435,6871.88
436,6931.25
437,6921.88
438,6896.88
439,6834.38
440,6850
441,6887.5
442,6940.62
443,6950
444,6950
445,6978.12
446,7034.38
447,6950
448,6878.12
449,6925
450,6943.75
451,6887.5
452,6850
453,6831.25
454,6921.88
455,6959.38
456,6990.62
457,6993.75
458,7118.75
459,7171.88
460,7150
461,7125
462,7100
463,7028.12
464,7021.88
465,7050
466,7053.12
467,7006.25
468,6950
469,6946.88
470,7015.62
471,7046.88
472,6981.25
473,6962.5
474,7059.38
475,7156.25
476,7137.5
477,7131.25
478,7146.88
479,7162.5
480,7087.5
481,7068.75
482,7062.5
483,7025
484,6956.25
485,6931.25
486,6928.12
487,7015.62
488,7037.5
489,7078.12
490,7031.25
491,6990.62
492,6950
493,6993.75
494,6971.88
495,6987.5
496,7037.5
497,7037.5
498,7050
499,7146.88
500,7137.5
501,7231.25
502,7215.62
503,7209.38
504,7237.5
505,7187.5
506,7125
507,7093.75
508,7143.75
509,7112.5
510,7068.75
511,7046.88
512,7065.62
513,7056.25
514,7062.5
515,7106.25
516,7065.62
517,7059.38
518,6984.38
519,6909.38
520,6837.5
521,6828.12
522,6859.38
523,6812.5
524,6765.62
525,6740.62
526,6756.25
527,6787.5
528,6771.88
529,6725
530,6821.88
531,6862.5
532,6843.75
533,6812.5
534,6787.5
535,6806.25
536,6746.88
537,6728.12
538,6803.12
539,6821.88
540,6825
541,6815.62
542,6862.5
543,6859.38
544,6843.75
545,6909.38
546,6940.62
547,6918.75
548,6918.75
549,6871.88
550,6884.38
551,6875
552,6971.88
553,7053.12
554,7065.62
555,7056.25
556,7109.38
557,7109.38
558,7203.12
559,7181.25
560,7184.38
561,7125
562,7112.5
563,7059.38
564,7046.88
565,7031.25
566,7046.88
567,7065.62
568,7096.88
569,7178.12
570,7171.88
571,7196.88
572,7134.38
573,7146.88
574,7243.75
575,7271.88
576,7284.38
577,7350
578,7337.5
579,7362.5
580,7487.5
581,7496.88
582,7478.12
583,7459.38
584,7515.62
585,7584.38
586,7596.88
587,7606.25
